date;class;focuses;uf
2025/02;Fogo em áreas de desmatamento consolidado;17;RONDÔNIA
2025/01;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2025/01;Fogo em áreas de desmatamento recente;8;RONDÔNIA
2025/01;Fogo em áreas de desmatamento consolidado;1;RONDÔNIA
2025/01;Fogo em áreas de desmatamento consolidado;16;RONDÔNIA
2025/01;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2025/01;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/06;Fogo em áreas de desmatamento consolidado;1;RONDÔNIA
2024/06;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/06;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/07;Fogo em áreas de desmatamento consolidado;16;RONDÔNIA
2024/07;Fogo em áreas de desmatamento recente;2;RONDÔNIA
2024/07;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/08;Fogo em áreas de desmatamento consolidado;20;RONDÔNIA
2024/08;Fogo em áreas de desmatamento recente;13;RONDÔNIA
2024/08;Fogo em áreas de vegetação nativa;10;RONDÔNIA
2024/09;Fogo em áreas de desmatamento consolidado;13;RONDÔNIA
2024/12;Fogo em áreas de desmatamento recente;20;RONDÔNIA
2024/09;Fogo em áreas de desmatamento recente;8;RONDÔNIA
2024/12;Fogo em áreas de desmatamento consolidado;18;RONDÔNIA
2024/09;Fogo em áreas de vegetação nativa;11;RONDÔNIA
2024/11;Fogo em áreas de vegetação nativa;10;RONDÔNIA
2024/10;Fogo em áreas de desmatamento consolidado;1;RONDÔNIA
2024/11;Fogo em áreas de desmatamento recente;61;RONDÔNIA
2024/10;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/11;Fogo em áreas de desmatamento consolidado;35;RONDÔNIA
2024/10;Fogo em áreas de vegetação nativa;2;RONDÔNIA
2024/10;Fogo em áreas de vegetação nativa;604;RONDÔNIA
2024/11;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/10;Fogo em outras áreas;1;RONDÔNIA
2024/10;Fogo em áreas de desmatamento recente;276;RONDÔNIA
2024/10;Fogo em áreas de desmatamento consolidado;311;RONDÔNIA
2024/09;Fogo em áreas de vegetação nativa;924;RONDÔNIA
2024/09;Fogo em áreas de desmatamento recente;1159;RONDÔNIA
2024/09;Fogo em áreas de desmatamento consolidado;622;RONDÔNIA
2024/06;Fogo em áreas de desmatamento consolidado;44;RIO GRANDE DO SUL
2025/06;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2024/06;Fogo em áreas de desmatamento recente;7;RIO GRANDE DO SUL
2024/06;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2025/01;Fogo em áreas de desmatamento recente;11;RIO GRANDE DO SUL
2024/07;Fogo em áreas de desmatamento consolidado;123;RIO GRANDE DO SUL
2025/06;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO SUL
2024/07;Fogo em áreas de desmatamento recente;37;RIO GRANDE DO SUL
2024/07;Fogo em áreas de vegetação nativa;39;RIO GRANDE DO SUL
2024/08;Fogo em áreas de desmatamento consolidado;377;RIO GRANDE DO SUL
2024/08;Fogo em áreas de desmatamento recente;119;RIO GRANDE DO SUL
2024/08;Fogo em áreas de vegetação nativa;132;RIO GRANDE DO SUL
2024/09;Fogo em áreas de desmatamento consolidado;134;RIO GRANDE DO SUL
2024/09;Fogo em áreas de desmatamento recente;26;RIO GRANDE DO SUL
2024/09;Fogo em áreas de vegetação nativa;17;RIO GRANDE DO SUL
2025/06;Fogo em áreas de desmatamento consolidado;6;RIO GRANDE DO SUL
2024/10;Fogo em áreas de desmatamento consolidado;14;RIO GRANDE DO SUL
2024/10;Fogo em áreas de vegetação nativa;2;RIO GRANDE DO SUL
2024/11;Fogo em áreas de desmatamento consolidado;12;RIO GRANDE DO SUL
2025/05;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2024/11;Fogo em áreas de desmatamento recente;1;RIO GRANDE DO SUL
2024/12;Fogo em áreas de desmatamento consolidado;9;RIO GRANDE DO SUL
2024/12;Fogo em áreas de desmatamento recente;1;RIO GRANDE DO SUL
2025/05;Fogo em áreas de desmatamento recente;8;RIO GRANDE DO SUL
2025/05;Fogo em áreas de desmatamento consolidado;37;RIO GRANDE DO SUL
2025/04;Fogo em áreas de desmatamento recente;6;RIO GRANDE DO SUL
2025/04;Fogo em áreas de desmatamento consolidado;41;RIO GRANDE DO SUL
2025/03;Fogo em áreas de desmatamento recente;13;RIO GRANDE DO SUL
2025/03;Fogo em áreas de desmatamento consolidado;22;RIO GRANDE DO SUL
2025/02;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2025/02;Fogo em áreas de desmatamento recente;4;RIO GRANDE DO SUL
2024/12;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2024/12;Fogo em áreas de desmatamento consolidado;12;RIO GRANDE DO SUL
2024/11;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2024/11;Fogo em áreas de desmatamento recente;2;RIO GRANDE DO SUL
2024/11;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO SUL
2024/10;Fogo em áreas de vegetação nativa;3;RIO GRANDE DO SUL
2024/10;Fogo em áreas de desmatamento recente;6;RIO GRANDE DO SUL
2024/10;Fogo em áreas de desmatamento consolidado;25;RIO GRANDE DO SUL
2024/09;Fogo em áreas de vegetação nativa;13;RIO GRANDE DO SUL
2025/02;Fogo em áreas de desmatamento consolidado;19;RIO GRANDE DO SUL
2024/09;Fogo em áreas de desmatamento recente;7;RIO GRANDE DO SUL
2024/09;Fogo em áreas de desmatamento consolidado;36;RIO GRANDE DO SUL
